po_id,supplier_id,po_date,expected_delivery_date,actual_delivery_date,status,currency,shipping_cost,notes
PO-2024-001,SUP001,2024-01-05,2024-01-19,2024-01-18,DELIVERED,USD,125.00,Urgent restock
PO-2024-002,SUP002,2024-01-08,2024-02-05,2024-02-06,DELIVERED,EUR,210.00,
PO-2024-003,SUP003,2024-01-10,2024-03-10,2024-03-15,DELIVERED,USD,380.00,Sea freight
PO-2024-004,SUP004,2024-01-15,2024-01-29,2024-01-29,DELIVERED,CAD,95.00,
PO-2024-005,SUP005,2024-01-20,2024-02-17,2024-02-14,DELIVERED,CHF,175.00,Early delivery
PO-2024-006,SUP001,2024-02-01,2024-02-15,2024-02-16,DELIVERED,USD,140.00,
PO-2024-007,SUP006,2024-02-05,2024-02-26,2024-03-01,DELIVERED,AUD,220.00,Delayed customs
PO-2024-008,SUP010,2024-02-10,2024-02-24,2024-02-24,DELIVERED,USD,88.00,
PO-2024-009,SUP002,2024-02-14,2024-03-13,2024-03-12,DELIVERED,EUR,195.00,
PO-2024-010,SUP007,2024-02-20,2024-04-05,,CANCELLED,SEK,0.00,Supplier capacity issue
PO-2024-011,SUP004,2024-03-01,2024-03-15,2024-03-14,DELIVERED,CAD,110.00,
PO-2024-012,SUP001,2024-03-05,2024-03-19,2024-03-20,DELIVERED,USD,132.00,
PO-2024-013,SUP003,2024-03-08,2024-05-08,,CANCELLED,USD,0.00,Quality dispute
PO-2024-014,SUP010,2024-03-12,2024-03-26,2024-03-25,DELIVERED,USD,76.00,
PO-2024-015,SUP005,2024-03-15,2024-04-12,2024-04-11,DELIVERED,CHF,190.00,
PO-2024-016,SUP008,2024-03-20,2024-04-03,2024-04-05,DELIVERED,MXN,850.00,
PO-2024-017,SUP001,2024-04-02,2024-04-16,,IN_TRANSIT,USD,145.00,
PO-2024-018,SUP002,2024-04-05,2024-05-03,,APPROVED,EUR,230.00,
PO-2024-019,SUP006,2024-04-08,2024-04-29,,APPROVED,AUD,205.00,
PO-2024-020,SUP010,2024-04-10,2024-04-24,,IN_TRANSIT,USD,92.00,
